timestamp,open,high,low,close,volume,future_close,future_change_pct,price_direction
2024-11-18 08:00:00,126097000.0,126500000.0,125900000.0,126472000.0,122.87466836,126664000.0,0.15181225883990132,STABLE
2024-11-18 09:00:00,126469000.0,126993000.0,126200000.0,126664000.0,146.85728003,127065000.0,0.3165856123286806,UP
2024-11-18 10:00:00,126661000.0,127482000.0,126601000.0,127065000.0,160.8584546,126863000.0,-0.15897375359068192,STABLE
2024-11-18 11:00:00,127083000.0,127200000.0,126673000.0,126863000.0,112.64927435,126968000.0,0.08276644884639335,STABLE
2024-11-18 12:00:00,126863000.0,126972000.0,126523000.0,126968000.0,133.5267662,126651000.0,-0.24966920798941464,STABLE
2024-11-18 13:00:00,126968000.0,127101000.0,126648000.0,126651000.0,93.00710829,126766000.0,0.09080070429763681,STABLE
2024-11-18 14:00:00,126651000.0,126998000.0,126636000.0,126766000.0,116.40494088,128200000.0,1.1312181499771232,UP
2024-11-18 15:00:00,126767000.0,128200000.0,126766000.0,128200000.0,370.64197823,127999000.0,-0.15678627145085802,STABLE
2024-11-18 16:00:00,128200000.0,128353000.0,127736000.0,127999000.0,362.11492899,128272000.0,0.2132829162727834,STABLE
2024-11-18 17:00:00,127999000.0,128452000.0,127843000.0,128272000.0,214.13860739,128501000.0,0.1785268803791942,STABLE
2024-11-18 18:00:00,128277000.0,128895000.0,128150000.0,128501000.0,251.51131425,128426000.0,-0.05836530455015914,STABLE
2024-11-18 19:00:00,128500000.0,128752000.0,128405000.0,128426000.0,149.03454616,126989000.0,-1.1189323034276548,DOWN
2024-11-18 20:00:00,128426000.0,128500000.0,126599000.0,126989000.0,385.45336975,127303000.0,0.24726551118600823,STABLE
2024-11-18 21:00:00,126989000.0,127798000.0,126733000.0,127303000.0,208.73865631,126243000.0,-0.8326590889452723,DOWN
2024-11-18 22:00:00,127261000.0,127405000.0,126133000.0,126243000.0,407.43822823,126874000.0,0.4998296935275619,UP
2024-11-18 23:00:00,126243000.0,127777000.0,126211000.0,126874000.0,279.0963744,128595000.0,1.3564638933114743,UP
2024-11-19 00:00:00,126874000.0,128895000.0,126859000.0,128595000.0,471.41547501,127775000.0,-0.6376608732843423,DOWN
2024-11-19 01:00:00,128590000.0,128884000.0,127503000.0,127775000.0,207.57058714,127988000.0,0.16669927607121893,STABLE
2024-11-19 02:00:00,127775000.0,128546000.0,127210000.0,127988000.0,144.635793,126886000.0,-0.8610182204581679,DOWN
2024-11-19 03:00:00,127986000.0,128050000.0,126600000.0,126886000.0,152.41638845,127419000.0,0.4200621029900856,UP
2024-11-19 04:00:00,126824000.0,127472000.0,126300000.0,127419000.0,157.86234574,128000000.0,0.4559759533507562,UP
2024-11-19 05:00:00,127383000.0,128580000.0,127252000.0,128000000.0,192.32792183,127664000.0,-0.2625,STABLE
2024-11-19 06:00:00,127942000.0,128350000.0,127441000.0,127664000.0,148.20547711,127515000.0,-0.11671262062915153,STABLE
2024-11-19 07:00:00,127664000.0,127900000.0,127340000.0,127515000.0,92.00155994,127142000.0,-0.2925146061247696,STABLE
2024-11-19 08:00:00,127515000.0,127585000.0,126821000.0,127142000.0,224.4816931,127732000.0,0.4640480722341948,UP
2024-11-19 09:00:00,127142000.0,127938000.0,127050000.0,127732000.0,188.17052123,127511000.0,-0.1730185075000783,STABLE
2024-11-19 10:00:00,127732000.0,127909000.0,127395000.0,127511000.0,90.2783655,127800000.0,0.22664711279811153,STABLE
2024-11-19 11:00:00,127510000.0,127901000.0,127441000.0,127800000.0,96.1505698,127893000.0,0.07276995305164319,STABLE
